Date,BAC,F,GM,GS,IBM,JPM,T,XOM
2019-01-02,21.416181564331055,5.748631000518799,31.0113525390625,148.40374755859375,82.74009704589844,82.40862274169922,13.745192527770996,51.71986770629883
2019-01-03,21.07297134399414,5.661310195922852,29.729969024658203,146.22984313964844,81.08831024169922,81.2374496459961,13.763808250427246,50.92576599121094
2019-01-04,21.948158264160156,5.879612445831299,30.725576400756836,151.00900268554688,84.25543212890625,84.23230743408203,14.117440223693848,52.80339050292969
2019-01-07,21.93099021911621,6.032423973083496,31.675098419189453,151.8457489013672,84.85153198242188,84.2908706665039,14.373357772827148,53.07798385620117
2019-01-08,21.888097763061523,6.090638637542725,32.089935302734375,151.28501892089844,86.05805206298828,84.13191223144531,14.554824829101562,53.46388626098633
2019-01-09,22.102602005004883,6.34532356262207,32.4310188293457,152.23394775390625,86.67566680908203,83.98970031738281,14.314780235290527,53.74591827392578
2019-01-10,22.076854705810547,6.3089399337768555,32.016178131103516,151.82852172851562,87.46564483642578,83.9813461303711,14.457449913024902,53.4713249206543
2019-01-11,22.334266662597656,6.418091297149658,34.27473449707031,152.6307373046875,87.22865295410156,83.57979583740234,14.680968284606934,53.22642135620117
2019-01-14,22.625993728637695,6.541796684265137,34.71723175048828,154.17495727539062,86.46021270751953,84.44144439697266,14.5620756149292,53.159629821777344
2019-01-15,22.780441284179688,6.432645797729492,34.615821838378906,155.20152282714844,87.42256164550781,85.06048583984375,14.552559852600098,53.18931198120117
2019-01-16,24.41067123413086,6.032423973083496,34.726444244384766,170.01344299316406,87.34355926513672,85.74646759033203,14.533543586730957,53.16703414916992
2019-01-17,24.874006271362305,6.083362102508545,35.27033996582031,171.74740600585938,87.75292205810547,86.09780883789062,14.571588516235352,53.53068923950195
2019-01-18,25.139989852905273,6.243449687957764,35.59300231933594,174.72354125976562,88.92353820800781,87.49483489990234,14.723769187927246,54.1689338684082
2019-01-22,24.95980453491211,6.185235500335693,35.16893768310547,170.531005859375,87.98992919921875,86.11454772949219,14.543050765991211,53.35258102416992
2019-01-23,24.813941955566406,6.0688066482543945,34.726444244384766,169.858154296875,95.43732452392578,85.89702606201172,14.690476417541504,52.91471481323242
2019-01-24,24.951229095458984,6.258002758026123,35.17816162109375,170.6345672607422,95.17877197265625,85.94721984863281,14.552559852600098,52.988929748535156
2019-01-25,25.380237579345703,6.44719934463501,35.62065887451172,173.17076110839844,96.21295166015625,86.4909896850586,14.581099510192871,53.22642135620117
2019-01-28,25.423131942749023,6.301663398742676,35.4547119140625,172.29086303710938,96.42839813232422,86.90089416503906,14.58585262298584,52.870182037353516
2019-01-29,25.217212677001953,6.374431610107422,35.46393585205078,172.9637451171875,96.47148132324219,87.14349365234375,14.600123405456543,53.070560455322266
2019-01-30,24.942649841308594,6.448468208312988,36.03548812866211,174.6717987060547,96.50737762451172,87.34426879882812,13.967611312866211,53.64943313598633
2019-01-31,24.427831649780273,6.515099048614502,35.97095489501953,170.81570434570312,96.5361099243164,86.58300018310547,14.295756340026855,54.384159088134766
2019-02-01,24.350610733032227,6.455870628356934,35.749717712402344,169.5475616455078,96.30628967285156,86.90089416503906,14.267219543457031,56.34339904785156
2019-02-04,24.779621124267578,6.441064357757568,35.88798904418945,170.5655059814453,97.0890884399414,87.21041870117188,14.081744194030762,55.52705764770508
2019-02-05,24.693815231323242,6.4780802726745605,36.22907638549805,170.81570434570312,97.34764862060547,86.82560729980469,14.091259956359863,56.09851837158203
2019-02-06,24.650920867919922,6.455870628356934,36.79140853881836,169.61660766601562,97.90060424804688,86.78376770019531,14.057967185974121,55.853599548339844
2019-02-07,24.23048973083496,6.152325630187988,35.62986755371094,166.55418395996094,96.76724243164062,85.64608001708984,14.00565242767334,55.423160552978516
2019-02-08,24.273386001586914,6.211554527282715,35.675968170166016,165.346435546875,97.14501190185547,84.79277801513672,14.053214073181152,55.513214111328125
2019-02-11,24.37635612487793,6.16713285446167,35.6114387512207,165.05313110351562,97.34848022460938,84.39125061035156,14.129305839538574,55.60325241088867
2019-02-12,24.61659812927246,6.263377666473389,35.98017501831055,167.77911376953125,98.84513854980469,85.83010864257812,14.176860809326172,56.57875061035156
2019-02-13,24.625179290771484,6.2263617515563965,35.952518463134766,167.95167541503906,99.91313171386719,86.24000549316406,14.191126823425293,57.21657180786133
2019-02-14,24.359189987182617,6.233764171600342,35.851112365722656,166.0883331298828,99.15753173828125,85.67953491210938,14.167350769042969,57.231571197509766
2019-02-15,24.976966857910156,6.322607517242432,36.03548812866211,171.23837280273438,100.28367614746094,88.29792785644531,14.490741729736328,58.31212615966797
2019-02-19,24.99412727355957,6.537309169769287,36.441104888916016,171.38504028320312,100.77045440673828,87.98841857910156,14.566831588745117,58.70233154296875
2019-02-20,25.234371185302734,6.618745803833008,36.82828903198242,171.32469177246094,100.26187133789062,88.41504669189453,14.671457290649414,58.92744064331055
2019-02-21,25.131412506103516,6.448468208312988,36.52408218383789,169.39227294921875,100.14561462402344,88.23101043701172,14.661947250366211,58.39466094970703
2019-02-22,24.951229095458984,6.448468208312988,36.86516571044922,169.08172607421875,101.17002868652344,87.83782958984375,14.814123153686523,58.84490203857422
2019-02-25,25.1142520904541,6.485483646392822,37.00344467163086,171.36778259277344,101.32260131835938,88.75804901123047,14.804620742797852,58.90493392944336
2019-02-26,25.131412506103516,6.574326515197754,36.97578811645508,171.58349609375,101.51148223876953,88.0804214477539,14.847421646118164,59.02497863769531
2019-02-27,25.33733558654785,6.5002899169921875,36.874385833740234,171.58351135253906,101.11190795898438,87.9716796875,14.771329879760742,59.63280487060547
